case_id,cse_id,opened_at,closed_at,investigation_text,investigator_id,escalated,resolution,alert_ids
CAS-CSE-03-0001,CSE-03,2024-12-12T16:22:11.192905,2024-12-12T16:57:56.296854,Core 5G signaling storm analysis for ALT-CSE-03-00003. GTP tunnel inspect completed with no packet tampering.,NOC-ANA-2,False,Resolved,"[""ALT-CSE-03-00003""]"
CAS-CSE-03-0002,CSE-03,2024-12-10T19:02:42.702235,2024-12-10T19:51:27.001855,Core 5G signaling storm analysis for ALT-CSE-03-00005. GTP tunnel inspect completed with no packet tampering.,NOC-ANA-6,False,Resolved,"[""ALT-CSE-03-00005""]"
CAS-CSE-03-0003,CSE-03,2024-12-02T04:46:55.342986,2024-12-02T05:58:03.645515,Core 5G signaling storm analysis for ALT-CSE-03-00007. GTP tunnel inspect completed with no packet tampering.,NOC-ANA-6,False,Resolved,"[""ALT-CSE-03-00007""]"
CAS-CSE-03-0004,CSE-03,2024-11-24T18:09:42.682811,2024-11-24T19:29:49.514423,Core 5G signaling storm analysis for ALT-CSE-03-00009. GTP tunnel inspect completed with no packet tampering.,NOC-ANA-3,True,Resolved,"[""ALT-CSE-03-00009""]"
CAS-CSE-03-0005,CSE-03,2024-11-22T23:49:54.562104,2024-11-23T01:05:31.645031,Core 5G signaling storm analysis for ALT-CSE-03-00020. GTP tunnel inspect completed with no packet tampering.,NOC-ANA-4,False,Resolved,"[""ALT-CSE-03-00020""]"
CAS-CSE-03-0006,CSE-03,2024-12-17T15:42:09.345421,2024-12-17T16:31:08.333961,Core 5G signaling storm analysis for ALT-CSE-03-00046. GTP tunnel inspect completed with no packet tampering.,NOC-ANA-2,False,Resolved,"[""ALT-CSE-03-00046""]"
CAS-CSE-03-0007,CSE-03,2024-10-15T21:15:21.420931,2024-10-15T21:46:54.040363,Core 5G signaling storm analysis for ALT-CSE-03-00047. GTP tunnel inspect completed with no packet tampering.,NOC-ANA-2,True,Resolved,"[""ALT-CSE-03-00047""]"
CAS-CSE-03-0008,CSE-03,2024-12-15T01:58:29.119752,2024-12-15T02:57:47.492943,Core 5G signaling storm analysis for ALT-CSE-03-00052. GTP tunnel inspect completed with no packet tampering.,NOC-ANA-6,False,Resolved,"[""ALT-CSE-03-00052""]"
CAS-CSE-03-0009,CSE-03,2024-10-01T13:24:52.325505,2024-10-01T14:23:26.322472,Core 5G signaling storm analysis for ALT-CSE-03-00053. GTP tunnel inspect completed with no packet tampering.,NOC-ANA-1,False,Resolved,"[""ALT-CSE-03-00053""]"
CAS-CSE-03-0010,CSE-03,2024-11-01T01:22:14.008329,2024-11-01T01:59:51.046724,Core 5G signaling storm analysis for ALT-CSE-03-00072. GTP tunnel inspect completed with no packet tampering.,NOC-ANA-2,False,Resolved,"[""ALT-CSE-03-00072""]"
