case_id,cse_id,opened_at,closed_at,investigation_text,investigator_id,escalated,resolution,alert_ids
CAS-CSE-02-0001,CSE-02,2024-12-11T20:36:08.669733,2024-12-11T20:49:09.444746,SCADA telemetry alarm ALT-CSE-02-00007 analyzed against transmission substation load profile.,OT-ENG-2,False,Resolved,"[""ALT-CSE-02-00007""]"
CAS-CSE-02-0002,CSE-02,2024-10-26T01:21:50.588505,2024-10-26T01:40:29.458795,SCADA telemetry alarm ALT-CSE-02-00009 analyzed against transmission substation load profile.,OT-ENG-3,False,Resolved,"[""ALT-CSE-02-00009""]"
CAS-CSE-02-0003,CSE-02,2024-10-22T14:03:40.996075,2024-10-22T14:50:01.291816,SCADA telemetry alarm ALT-CSE-02-00023 analyzed against transmission substation load profile.,OT-ENG-3,True,Resolved,"[""ALT-CSE-02-00023""]"
CAS-CSE-02-0004,CSE-02,2024-10-26T16:37:41.224208,2024-10-26T17:30:08.787494,SCADA telemetry alarm ALT-CSE-02-00031 analyzed against transmission substation load profile.,OT-ENG-2,False,Resolved,"[""ALT-CSE-02-00031""]"
CAS-CSE-02-0005,CSE-02,2024-11-09T08:13:36.563736,2024-11-09T09:25:37.068239,SCADA telemetry alarm ALT-CSE-02-00054 analyzed against transmission substation load profile.,OT-ENG-1,False,Resolved,"[""ALT-CSE-02-00054""]"
CAS-CSE-02-0006,CSE-02,2024-11-29T08:41:25.492113,2024-11-29T09:25:20.781083,SCADA telemetry alarm ALT-CSE-02-00057 analyzed against transmission substation load profile.,OT-ENG-2,False,Resolved,"[""ALT-CSE-02-00057""]"
CAS-CSE-02-0007,CSE-02,2024-12-10T21:12:15.208832,2024-12-10T21:56:32.421951,SCADA telemetry alarm ALT-CSE-02-00058 analyzed against transmission substation load profile.,OT-ENG-1,True,Resolved,"[""ALT-CSE-02-00058""]"
CAS-CSE-02-0008,CSE-02,2024-11-15T05:02:18.502110,2024-11-15T05:42:13.955061,SCADA telemetry alarm ALT-CSE-02-00076 analyzed against transmission substation load profile.,OT-ENG-3,False,Resolved,"[""ALT-CSE-02-00076""]"
CAS-CSE-02-0009,CSE-02,2024-12-17T18:16:28.882732,2024-12-17T19:15:53.292441,SCADA telemetry alarm ALT-CSE-02-00080 analyzed against transmission substation load profile.,OT-ENG-1,False,Resolved,"[""ALT-CSE-02-00080""]"
CAS-CSE-02-0010,CSE-02,2024-10-23T14:17:32.646848,2024-10-23T14:40:51.789369,SCADA telemetry alarm ALT-CSE-02-00091 analyzed against transmission substation load profile.,OT-ENG-1,True,Resolved,"[""ALT-CSE-02-00091""]"
CAS-CSE-02-0011,CSE-02,2024-12-15T18:04:37.157619,2024-12-15T18:36:14.736450,SCADA telemetry alarm ALT-CSE-02-00113 analyzed against transmission substation load profile.,OT-ENG-3,False,Resolved,"[""ALT-CSE-02-00113""]"
CAS-CSE-02-0012,CSE-02,2024-11-08T14:57:53.730649,2024-11-08T15:28:24.875933,SCADA telemetry alarm ALT-CSE-02-00134 analyzed against transmission substation load profile.,OT-ENG-3,False,Resolved,"[""ALT-CSE-02-00134""]"
CAS-CSE-02-0013,CSE-02,2024-11-30T12:57:06.832053,2024-11-30T13:44:44.898099,SCADA telemetry alarm ALT-CSE-02-00141 analyzed against transmission substation load profile.,OT-ENG-3,False,Resolved,"[""ALT-CSE-02-00141""]"
CAS-CSE-02-0014,CSE-02,2024-12-07T02:26:34.693440,2024-12-07T03:07:00.273095,SCADA telemetry alarm ALT-CSE-02-00167 analyzed against transmission substation load profile.,OT-ENG-1,True,Resolved,"[""ALT-CSE-02-00167""]"
CAS-CSE-02-0015,CSE-02,2024-11-16T09:29:19.773737,2024-11-16T10:41:09.290830,SCADA telemetry alarm ALT-CSE-02-00179 analyzed against transmission substation load profile.,OT-ENG-2,False,Resolved,"[""ALT-CSE-02-00179""]"
CAS-CSE-02-0016,CSE-02,2024-11-13T01:12:16.938050,2024-11-13T02:01:12.646429,SCADA telemetry alarm ALT-CSE-02-00187 analyzed against transmission substation load profile.,OT-ENG-2,False,Resolved,"[""ALT-CSE-02-00187""]"
CAS-CSE-02-0017,CSE-02,2024-11-21T01:16:02.286483,2024-11-21T01:49:12.555464,SCADA telemetry alarm ALT-CSE-02-00195 analyzed against transmission substation load profile.,OT-ENG-2,False,Resolved,"[""ALT-CSE-02-00195""]"
CAS-CSE-02-0018,CSE-02,2024-12-02T08:57:18.706031,2024-12-02T09:20:32.000824,SCADA telemetry alarm ALT-CSE-02-00228 analyzed against transmission substation load profile.,OT-ENG-3,False,Resolved,"[""ALT-CSE-02-00228""]"
CAS-CSE-02-0019,CSE-02,2024-10-01T03:31:28.690208,2024-10-01T04:20:03.196374,SCADA telemetry alarm ALT-CSE-02-00253 analyzed against transmission substation load profile.,OT-ENG-3,False,Resolved,"[""ALT-CSE-02-00253""]"
CAS-CSE-02-0020,CSE-02,2024-10-12T19:01:54.823781,2024-10-12T19:54:36.248282,SCADA telemetry alarm ALT-CSE-02-00287 analyzed against transmission substation load profile.,OT-ENG-2,False,Resolved,"[""ALT-CSE-02-00287""]"
CAS-CSE-02-0021,CSE-02,2024-10-31T06:31:03.608040,2024-10-31T07:09:54.536577,SCADA telemetry alarm ALT-CSE-02-00322 analyzed against transmission substation load profile.,OT-ENG-3,False,Resolved,"[""ALT-CSE-02-00322""]"
CAS-CSE-02-0022,CSE-02,2024-12-12T21:20:42.605303,2024-12-12T22:07:56.565891,SCADA telemetry alarm ALT-CSE-02-00341 analyzed against transmission substation load profile.,OT-ENG-2,False,Resolved,"[""ALT-CSE-02-00341""]"
CAS-CSE-02-0023,CSE-02,2024-10-01T18:53:41.751852,2024-10-01T19:43:40.296553,SCADA telemetry alarm ALT-CSE-02-00349 analyzed against transmission substation load profile.,OT-ENG-1,False,Resolved,"[""ALT-CSE-02-00349""]"
CAS-CSE-02-0024,CSE-02,2024-10-05T12:58:21.593537,2024-10-05T14:03:29.441022,SCADA telemetry alarm ALT-CSE-02-00384 analyzed against transmission substation load profile.,OT-ENG-3,True,Resolved,"[""ALT-CSE-02-00384""]"
CAS-CSE-02-0025,CSE-02,2024-11-23T12:30:36.150165,2024-11-23T12:44:24.836699,SCADA telemetry alarm ALT-CSE-02-00390 analyzed against transmission substation load profile.,OT-ENG-2,False,Resolved,"[""ALT-CSE-02-00390""]"
CAS-CSE-02-0026,CSE-02,2024-11-10T12:09:36.367938,2024-11-10T12:57:09.026719,SCADA telemetry alarm ALT-CSE-02-00424 analyzed against transmission substation load profile.,OT-ENG-2,False,Resolved,"[""ALT-CSE-02-00424""]"
CAS-CSE-02-0027,CSE-02,2024-10-17T17:14:36.146956,2024-10-17T18:01:01.718232,SCADA telemetry alarm ALT-CSE-02-00427 analyzed against transmission substation load profile.,OT-ENG-3,True,Resolved,"[""ALT-CSE-02-00427""]"
CAS-CSE-02-0028,CSE-02,2024-12-26T14:05:40.222836,2024-12-26T14:43:42.892687,SCADA telemetry alarm ALT-CSE-02-00430 analyzed against transmission substation load profile.,OT-ENG-3,False,Resolved,"[""ALT-CSE-02-00430""]"
