case_id,cse_id,opened_at,closed_at,investigation_text,investigator_id,escalated,resolution,alert_ids
CAS-CSE-09-0001,CSE-09,2024-11-26T16:59:45.455871,2024-11-26T18:14:28.537763,Citizen gateway access anomaly ALT-CSE-09-00000 correlated with rate-limiting WAF rules. No unauthorized token issuance.,CERT-IN-ANA-3,False,True Positive - Remediated,"[""ALT-CSE-09-00000""]"
CAS-CSE-09-0002,CSE-09,2024-10-31T00:42:15.443397,2024-10-31T01:33:25.695611,Citizen gateway access anomaly ALT-CSE-09-00008 correlated with rate-limiting WAF rules. No unauthorized token issuance.,CERT-IN-ANA-3,False,True Positive - Remediated,"[""ALT-CSE-09-00008""]"
CAS-CSE-09-0003,CSE-09,2024-10-11T08:48:21.816888,2024-10-11T09:46:55.425671,Citizen gateway access anomaly ALT-CSE-09-00010 correlated with rate-limiting WAF rules. No unauthorized token issuance.,CERT-IN-ANA-2,False,True Positive - Remediated,"[""ALT-CSE-09-00010""]"
CAS-CSE-09-0004,CSE-09,2024-11-22T08:11:49.336441,2024-11-22T09:38:11.145633,Citizen gateway access anomaly ALT-CSE-09-00011 correlated with rate-limiting WAF rules. No unauthorized token issuance.,CERT-IN-ANA-2,False,True Positive - Remediated,"[""ALT-CSE-09-00011""]"
CAS-CSE-09-0005,CSE-09,2024-10-04T14:53:00.163408,2024-10-04T16:13:38.813303,Citizen gateway access anomaly ALT-CSE-09-00016 correlated with rate-limiting WAF rules. No unauthorized token issuance.,CERT-IN-ANA-3,False,True Positive - Remediated,"[""ALT-CSE-09-00016""]"
CAS-CSE-09-0006,CSE-09,2024-10-16T22:36:49.583441,2024-10-16T23:51:54.911551,Citizen gateway access anomaly ALT-CSE-09-00018 correlated with rate-limiting WAF rules. No unauthorized token issuance.,CERT-IN-ANA-3,False,True Positive - Remediated,"[""ALT-CSE-09-00018""]"
CAS-CSE-09-0007,CSE-09,2024-11-17T04:44:36.668872,2024-11-17T05:52:09.464844,Citizen gateway access anomaly ALT-CSE-09-00020 correlated with rate-limiting WAF rules. No unauthorized token issuance.,CERT-IN-ANA-4,False,True Positive - Remediated,"[""ALT-CSE-09-00020""]"
CAS-CSE-09-0008,CSE-09,2024-11-26T10:54:37.483193,2024-11-26T11:37:56.731423,Citizen gateway access anomaly ALT-CSE-09-00038 correlated with rate-limiting WAF rules. No unauthorized token issuance.,CERT-IN-ANA-2,True,True Positive - Remediated,"[""ALT-CSE-09-00038""]"
CAS-CSE-09-0009,CSE-09,2024-11-06T21:21:11.298832,2024-11-06T22:32:04.281732,Citizen gateway access anomaly ALT-CSE-09-00043 correlated with rate-limiting WAF rules. No unauthorized token issuance.,CERT-IN-ANA-2,False,True Positive - Remediated,"[""ALT-CSE-09-00043""]"
CAS-CSE-09-0010,CSE-09,2024-10-14T17:04:56.193159,2024-10-14T18:18:05.673750,Citizen gateway access anomaly ALT-CSE-09-00045 correlated with rate-limiting WAF rules. No unauthorized token issuance.,CERT-IN-ANA-3,False,True Positive - Remediated,"[""ALT-CSE-09-00045""]"
