case_id,cse_id,opened_at,closed_at,investigation_text,investigator_id,escalated,resolution,alert_ids
CAS-CSE-01-0001,CSE-01,2024-10-17 06:39:31.788117,2024-10-17 07:26:22.132723,Investigation completed. Findings documented in internal tracker 23.,ANA-01,False,Resolved,"[""ALT-CSE-01-00002""]"
CAS-CSE-01-0002,CSE-01,2024-12-25 07:07:29.639221,2024-12-25 09:57:19.373697,Investigation completed. Findings documented in internal tracker 5.,ANA-04,True,Resolved,"[""ALT-CSE-01-00004""]"
CAS-CSE-01-0003,CSE-01,2024-11-13 05:10:43.730404,2024-11-13 05:43:34.065524,Investigation completed. Findings documented in internal tracker 7.,ANA-02,False,Resolved,"[""ALT-CSE-01-00011""]"
CAS-CSE-01-0004,CSE-01,2024-11-08 03:22:47.446687,2024-11-08 04:05:39.870319,Investigation completed. Findings documented in internal tracker 33.,ANA-05,True,Resolved,"[""ALT-CSE-01-00017""]"
CAS-CSE-01-0005,CSE-01,2024-12-19 09:11:41.464042,2024-12-19 09:50:54.435575,Investigation completed. Findings documented in internal tracker 30.,ANA-05,False,Resolved,"[""ALT-CSE-01-00028""]"
CAS-CSE-01-0006,CSE-01,2024-12-26 09:50:53.972611,2024-12-26 10:35:41.118793,Investigation completed. Findings documented in internal tracker 20.,ANA-05,False,Resolved,"[""ALT-CSE-01-00031""]"
CAS-CSE-01-0007,CSE-01,2024-11-28 06:59:36.202397,2024-11-28 08:19:08.678260,Investigation completed. Findings documented in internal tracker 0.,ANA-04,True,Resolved,"[""ALT-CSE-01-00034""]"
CAS-CSE-01-0008,CSE-01,2024-12-19 16:59:26.266449,2024-12-19 17:28:20.473328,Investigation completed. Findings documented in internal tracker 12.,ANA-01,False,Resolved,"[""ALT-CSE-01-00037""]"
CAS-CSE-01-0009,CSE-01,2024-10-24 02:59:50.175095,2024-10-24 04:18:57.082635,Investigation completed. Findings documented in internal tracker 10.,ANA-03,True,Resolved,"[""ALT-CSE-01-00040""]"
CAS-CSE-01-0010,CSE-01,2024-10-17 14:07:30.898884,2024-10-17 14:50:16.255251,Investigation completed. Findings documented in internal tracker 10.,ANA-05,False,Resolved,"[""ALT-CSE-01-00042""]"
