alert_id,cse_id,severity,created_at,acknowledged_at,closed_at,status,case_id,asset_id,escalated
ALT-CSE-08-00000,CSE-08,LOW,2024-12-26T14:40:15,2024-12-26T14:58:07.831078,2024-12-26T15:35:03.528158,CLOSED,,COOLING-MONITOR-01,False
ALT-CSE-08-00001,CSE-08,LOW,2024-11-11T19:01:44,2024-11-11T19:08:56.357987,2024-11-11T19:38:53.559733,CLOSED,,COOLING-MONITOR-01,False
ALT-CSE-08-00002,CSE-08,MEDIUM,2024-11-02T04:43:55,2024-11-02T04:56:25.509732,2024-11-02T06:14:27.795857,CLOSED,,COOLING-MONITOR-01,False
ALT-CSE-08-00003,CSE-08,MEDIUM,2024-10-31T20:16:58,2024-10-31T20:20:02.820426,2024-10-31T21:11:12.398301,CLOSED,,COOLING-MONITOR-01,False
ALT-CSE-08-00004,CSE-08,MEDIUM,2024-12-27T02:47:57,2024-12-27T02:52:37.707674,2024-12-27T04:17:30.113103,CLOSED,,COOLING-MONITOR-01,False
ALT-CSE-08-00005,CSE-08,CRITICAL,2024-10-26T06:54:21,2024-10-26T07:12:37.758647,2024-10-26T07:36:19.765953,CLOSED,CAS-CSE-08-0001,COOLING-MONITOR-01,False
ALT-CSE-08-00006,CSE-08,MEDIUM,2024-11-11T21:28:45,2024-11-11T21:39:08.729329,2024-11-11T22:05:51.224870,CLOSED,,ADMIN-WORKSTATION-08,False
ALT-CSE-08-00007,CSE-08,CRITICAL,2024-12-10T15:49:12,2024-12-10T15:53:09.253542,2024-12-10T16:36:05.311127,CLOSED,CAS-CSE-08-0002,PLANT-CORP-GW,False
ALT-CSE-08-00008,CSE-08,MEDIUM,2024-10-02T04:24:12,2024-10-02T04:42:19.823355,2024-10-02T05:43:39.595949,CLOSED,,COOLING-MONITOR-01,False
ALT-CSE-08-00009,CSE-08,HIGH,2024-12-21T00:32:24,2024-12-21T00:44:42.444839,2024-12-21T01:58:57.898040,CLOSED,,COOLING-MONITOR-01,False
ALT-CSE-08-00010,CSE-08,HIGH,2024-12-20T04:09:13,2024-12-20T04:16:01.960511,2024-12-20T05:19:43.561604,CLOSED,,ADMIN-WORKSTATION-08,False
ALT-CSE-08-00011,CSE-08,HIGH,2024-11-18T00:01:25,2024-11-18T00:15:52.041938,2024-11-18T01:29:50.283734,CLOSED,,ADMIN-WORKSTATION-08,False
ALT-CSE-08-00012,CSE-08,LOW,2024-10-23T08:39:17,2024-10-23T08:57:18.833477,2024-10-23T09:46:28.915500,CLOSED,CAS-CSE-08-0003,ADMIN-WORKSTATION-08,False
ALT-CSE-08-00013,CSE-08,HIGH,2024-11-23T16:34:53,2024-11-23T16:53:40.456163,2024-11-23T17:36:32.140249,CLOSED,,COOLING-MONITOR-01,False
ALT-CSE-08-00014,CSE-08,CRITICAL,2024-11-02T12:51:00,2024-11-02T13:04:42.772570,2024-11-02T13:57:29.810950,CLOSED,CAS-CSE-08-0004,PLANT-CORP-GW,True
ALT-CSE-08-00015,CSE-08,MEDIUM,2024-12-13T14:20:30,2024-12-13T14:32:00.655997,2024-12-13T15:52:34.994412,CLOSED,,PLANT-CORP-GW,False
ALT-CSE-08-00016,CSE-08,HIGH,2024-11-08T23:08:24,2024-11-08T23:16:57.350330,2024-11-09T00:33:56.718303,CLOSED,,COOLING-MONITOR-01,False
ALT-CSE-08-00017,CSE-08,LOW,2024-11-07T19:12:40,2024-11-07T19:30:32.034918,2024-11-07T20:41:44.302039,CLOSED,,PLANT-CORP-GW,False
ALT-CSE-08-00018,CSE-08,LOW,2024-12-19T13:04:39,2024-12-19T13:21:55.023947,2024-12-19T13:39:42.265434,CLOSED,,PLANT-CORP-GW,False
