alert_id,cse_id,severity,created_at,acknowledged_at,closed_at,status,case_id,asset_id,escalated
ALT-CSE-01-00000,CSE-01,HIGH,2024-12-02T15:01:40,2024-12-02T15:06:56.825409,2024-12-02T16:54:21.582566,CLOSED,,FIREWALL-01,False
ALT-CSE-01-00001,CSE-01,MEDIUM,2024-10-09T06:44:53,2024-10-09T06:56:26.601344,2024-10-09T09:01:54.175034,CLOSED,,DB-SERVER-01,False
ALT-CSE-01-00002,CSE-01,CRITICAL,2024-10-17T06:31:25,2024-10-17T06:39:31.788117,2024-10-17T07:26:22.132723,CLOSED,CAS-CSE-01-0001,FIREWALL-01,False
ALT-CSE-01-00003,CSE-01,HIGH,2024-12-04T19:30:37,2024-12-04T19:32:53.427465,2024-12-04T21:32:10.918285,CLOSED,,FIREWALL-01,False
ALT-CSE-01-00004,CSE-01,MEDIUM,2024-12-25T07:02:51,2024-12-25T07:07:29.639221,2024-12-25T09:57:19.373697,CLOSED,CAS-CSE-01-0002,DB-SERVER-01,False
ALT-CSE-01-00005,CSE-01,MEDIUM,2024-12-20T07:29:55,2024-12-20T07:44:52.147128,2024-12-20T09:13:40.315407,CLOSED,,ENDPOINT-01,False
ALT-CSE-01-00006,CSE-01,MEDIUM,2024-12-01T17:30:09,2024-12-01T17:40:47.215307,2024-12-01T19:23:40.698160,CLOSED,,WEB-SERVER-01,False
ALT-CSE-01-00007,CSE-01,HIGH,2024-11-22T04:09:07,2024-11-22T04:16:42.516046,2024-11-22T06:19:51.370770,CLOSED,,ENDPOINT-01,False
ALT-CSE-01-00008,CSE-01,MEDIUM,2024-10-18T16:34:53,2024-10-18T16:48:48.527087,2024-10-18T17:28:02.629114,CLOSED,,DB-SERVER-01,False
ALT-CSE-01-00009,CSE-01,MEDIUM,2024-12-16T09:27:13,2024-12-16T09:34:45.603814,2024-12-16T10:41:39.406536,CLOSED,,ROUTER-01,False
ALT-CSE-01-00010,CSE-01,MEDIUM,2024-11-18T09:59:33,2024-11-18T10:03:06.242196,2024-11-18T11:29:14.218205,CLOSED,,ROUTER-01,False
ALT-CSE-01-00011,CSE-01,CRITICAL,2024-11-13T04:59:37,2024-11-13T05:10:43.730404,2024-11-13T05:43:34.065524,CLOSED,CAS-CSE-01-0003,WEB-SERVER-01,False
ALT-CSE-01-00012,CSE-01,MEDIUM,2024-11-18T15:17:41,2024-11-18T15:25:39.397584,2024-11-18T17:51:18.533240,CLOSED,,WEB-SERVER-01,False
ALT-CSE-01-00013,CSE-01,HIGH,2024-11-16T14:16:19,2024-11-16T14:21:38.181879,2024-11-16T16:57:45.093770,CLOSED,,DB-SERVER-01,False
ALT-CSE-01-00014,CSE-01,HIGH,2024-11-12T15:26:03,2024-11-12T15:28:25.889053,2024-11-12T17:37:51.693100,CLOSED,,FIREWALL-01,False
ALT-CSE-01-00015,CSE-01,LOW,2024-12-08T19:13:57,2024-12-08T19:26:27.127992,2024-12-08T20:01:46.983332,CLOSED,,FIREWALL-01,False
ALT-CSE-01-00016,CSE-01,LOW,2024-10-20T22:57:23,2024-10-20T23:09:21.210009,2024-10-21T00:36:50.271180,CLOSED,,DB-SERVER-01,False
ALT-CSE-01-00017,CSE-01,CRITICAL,2024-11-08T03:14:29,2024-11-08T03:22:47.446687,2024-11-08T04:05:39.870319,CLOSED,CAS-CSE-01-0004,ENDPOINT-01,False
ALT-CSE-01-00018,CSE-01,MEDIUM,2024-10-30T23:06:01,2024-10-30T23:12:04.872682,2024-10-31T00:33:29.559636,CLOSED,,WEB-SERVER-01,False
ALT-CSE-01-00019,CSE-01,MEDIUM,2024-12-08T15:52:41,2024-12-08T16:06:05.434968,2024-12-08T17:49:13.975945,CLOSED,,WEB-SERVER-01,False
