case_id,cse_id,opened_at,closed_at,investigation_text,investigator_id,escalated,resolution,alert_ids
CAS-CSE-06-0001,CSE-06,2024-11-11T05:27:43.648290,2024-11-11T06:24:55.845446,Air traffic dispatch telemetry check for ALT-CSE-06-00000. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00000""]"
CAS-CSE-06-0002,CSE-06,2024-11-23T18:24:39.803095,2024-11-23T19:20:22.014083,Air traffic dispatch telemetry check for ALT-CSE-06-00006. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00006""]"
CAS-CSE-06-0003,CSE-06,2024-12-06T12:57:25.570018,2024-12-06T13:38:44.778536,Air traffic dispatch telemetry check for ALT-CSE-06-00010. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00010""]"
CAS-CSE-06-0004,CSE-06,2024-12-27T05:13:55.996715,2024-12-27T06:02:17.097214,Air traffic dispatch telemetry check for ALT-CSE-06-00031. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00031""]"
CAS-CSE-06-0005,CSE-06,2024-11-01T04:40:39.344854,2024-11-01T05:24:13.964123,Air traffic dispatch telemetry check for ALT-CSE-06-00033. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00033""]"
CAS-CSE-06-0006,CSE-06,2024-11-12T10:33:42.043510,2024-11-12T11:10:44.434289,Air traffic dispatch telemetry check for ALT-CSE-06-00041. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00041""]"
CAS-CSE-06-0007,CSE-06,2024-12-13T03:39:19.923374,2024-12-13T04:03:22.983460,Air traffic dispatch telemetry check for ALT-CSE-06-00042. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00042""]"
CAS-CSE-06-0008,CSE-06,2024-10-22T12:46:54.206023,2024-10-22T13:21:32.150696,Air traffic dispatch telemetry check for ALT-CSE-06-00046. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00046""]"
CAS-CSE-06-0009,CSE-06,2024-10-25T16:57:55.854411,2024-10-25T17:47:22.957868,Air traffic dispatch telemetry check for ALT-CSE-06-00053. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00053""]"
CAS-CSE-06-0010,CSE-06,2024-10-27T03:48:57.739125,2024-10-27T04:18:42.088276,Air traffic dispatch telemetry check for ALT-CSE-06-00055. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00055""]"
CAS-CSE-06-0011,CSE-06,2024-12-23T21:36:06.697476,2024-12-23T21:54:28.372321,Air traffic dispatch telemetry check for ALT-CSE-06-00057. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00057""]"
CAS-CSE-06-0012,CSE-06,2024-11-19T13:25:52.067077,2024-11-19T14:35:38.519035,Air traffic dispatch telemetry check for ALT-CSE-06-00061. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00061""]"
CAS-CSE-06-0013,CSE-06,2024-12-17T19:22:21.945487,2024-12-17T19:51:12.878368,Air traffic dispatch telemetry check for ALT-CSE-06-00062. Signal latency inside safety margins.,AERO-SOC-2,True,Resolved,"[""ALT-CSE-06-00062""]"
CAS-CSE-06-0014,CSE-06,2024-10-18T10:06:59.431687,2024-10-18T11:06:47.196948,Air traffic dispatch telemetry check for ALT-CSE-06-00069. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00069""]"
CAS-CSE-06-0015,CSE-06,2024-11-19T10:16:07.485683,2024-11-19T11:09:36.994603,Air traffic dispatch telemetry check for ALT-CSE-06-00075. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00075""]"
CAS-CSE-06-0016,CSE-06,2024-10-05T01:56:34.786582,2024-10-05T02:46:23.374773,Air traffic dispatch telemetry check for ALT-CSE-06-00083. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00083""]"
CAS-CSE-06-0017,CSE-06,2024-12-02T16:05:54.342382,2024-12-02T16:52:06.932189,Air traffic dispatch telemetry check for ALT-CSE-06-00094. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00094""]"
CAS-CSE-06-0018,CSE-06,2024-12-23T05:23:05.775909,2024-12-23T06:29:57.299070,Air traffic dispatch telemetry check for ALT-CSE-06-00097. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00097""]"
CAS-CSE-06-0019,CSE-06,2024-11-10T15:33:41.960245,2024-11-10T16:19:06.405330,Air traffic dispatch telemetry check for ALT-CSE-06-00099. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00099""]"
CAS-CSE-06-0020,CSE-06,2024-10-05T16:30:56.654723,2024-10-05T17:53:56.037892,Air traffic dispatch telemetry check for ALT-CSE-06-00107. Signal latency inside safety margins.,AERO-SOC-2,True,Resolved,"[""ALT-CSE-06-00107""]"
CAS-CSE-06-0021,CSE-06,2024-11-04T01:59:25.269128,2024-11-04T02:19:26.909893,Air traffic dispatch telemetry check for ALT-CSE-06-00109. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00109""]"
CAS-CSE-06-0022,CSE-06,2024-12-22T09:56:58.044003,2024-12-22T10:40:31.929629,Air traffic dispatch telemetry check for ALT-CSE-06-00114. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00114""]"
CAS-CSE-06-0023,CSE-06,2024-10-18T03:12:08.386020,2024-10-18T04:07:52.243343,Air traffic dispatch telemetry check for ALT-CSE-06-00118. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00118""]"
CAS-CSE-06-0024,CSE-06,2024-11-21T14:12:19.202221,2024-11-21T14:46:02.356922,Air traffic dispatch telemetry check for ALT-CSE-06-00119. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00119""]"
CAS-CSE-06-0025,CSE-06,2024-11-25T13:08:37.729471,2024-11-25T13:59:10.664975,Air traffic dispatch telemetry check for ALT-CSE-06-00125. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00125""]"
CAS-CSE-06-0026,CSE-06,2024-11-20T17:09:43.264287,2024-11-20T17:30:24.610678,Air traffic dispatch telemetry check for ALT-CSE-06-00131. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00131""]"
CAS-CSE-06-0027,CSE-06,2024-11-21T16:41:54.896779,2024-11-21T17:50:14.307151,Air traffic dispatch telemetry check for ALT-CSE-06-00135. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00135""]"
CAS-CSE-06-0028,CSE-06,2024-11-12T10:18:43.946380,2024-11-12T10:35:19.853067,Air traffic dispatch telemetry check for ALT-CSE-06-00158. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00158""]"
CAS-CSE-06-0029,CSE-06,2024-10-02T14:54:26.328851,2024-10-02T15:38:41.957231,Air traffic dispatch telemetry check for ALT-CSE-06-00159. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00159""]"
CAS-CSE-06-0030,CSE-06,2024-12-28T02:30:10.838560,2024-12-28T02:59:40.865527,Air traffic dispatch telemetry check for ALT-CSE-06-00162. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00162""]"
CAS-CSE-06-0031,CSE-06,2024-12-03T22:36:29.239870,2024-12-03T23:25:21.274968,Air traffic dispatch telemetry check for ALT-CSE-06-00174. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00174""]"
CAS-CSE-06-0032,CSE-06,2024-11-03T05:30:36.564689,2024-11-03T05:58:41.602473,Air traffic dispatch telemetry check for ALT-CSE-06-00176. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00176""]"
CAS-CSE-06-0033,CSE-06,2024-12-12T04:37:09.740447,2024-12-12T05:48:28.143655,Air traffic dispatch telemetry check for ALT-CSE-06-00190. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00190""]"
CAS-CSE-06-0034,CSE-06,2024-10-11T12:37:47.393517,2024-10-11T13:36:49.226976,Air traffic dispatch telemetry check for ALT-CSE-06-00193. Signal latency inside safety margins.,AERO-SOC-4,True,Resolved,"[""ALT-CSE-06-00193""]"
CAS-CSE-06-0035,CSE-06,2024-12-24T16:28:24.509933,2024-12-24T17:38:19.155719,Air traffic dispatch telemetry check for ALT-CSE-06-00194. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00194""]"
CAS-CSE-06-0036,CSE-06,2024-10-12T15:17:36.512174,2024-10-12T16:36:49.251016,Air traffic dispatch telemetry check for ALT-CSE-06-00196. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00196""]"
CAS-CSE-06-0037,CSE-06,2024-12-16T03:05:32.828347,2024-12-16T03:59:52.944122,Air traffic dispatch telemetry check for ALT-CSE-06-00204. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00204""]"
CAS-CSE-06-0038,CSE-06,2024-11-11T04:09:46.310749,2024-11-11T04:52:19.300655,Air traffic dispatch telemetry check for ALT-CSE-06-00212. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00212""]"
CAS-CSE-06-0039,CSE-06,2024-12-25T13:58:31.458818,2024-12-25T15:15:13.476162,Air traffic dispatch telemetry check for ALT-CSE-06-00216. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00216""]"
CAS-CSE-06-0040,CSE-06,2024-12-01T23:21:41.674268,2024-12-02T00:08:40.946680,Air traffic dispatch telemetry check for ALT-CSE-06-00220. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00220""]"
CAS-CSE-06-0041,CSE-06,2024-12-16T18:36:59.312527,2024-12-16T19:42:17.049450,Air traffic dispatch telemetry check for ALT-CSE-06-00221. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00221""]"
CAS-CSE-06-0042,CSE-06,2024-12-28T03:18:33.266329,2024-12-28T04:01:34.942194,Air traffic dispatch telemetry check for ALT-CSE-06-00228. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00228""]"
CAS-CSE-06-0043,CSE-06,2024-12-08T07:05:50.357197,2024-12-08T07:45:05.711334,Air traffic dispatch telemetry check for ALT-CSE-06-00230. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00230""]"
CAS-CSE-06-0044,CSE-06,2024-10-18T10:06:07.474401,2024-10-18T10:47:33.831891,Air traffic dispatch telemetry check for ALT-CSE-06-00232. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00232""]"
CAS-CSE-06-0045,CSE-06,2024-12-10T16:18:37.209467,2024-12-10T16:41:36.839946,Air traffic dispatch telemetry check for ALT-CSE-06-00234. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00234""]"
CAS-CSE-06-0046,CSE-06,2024-10-01T18:02:06.934636,2024-10-01T18:35:55.904232,Air traffic dispatch telemetry check for ALT-CSE-06-00235. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00235""]"
CAS-CSE-06-0047,CSE-06,2024-10-03T02:39:40.586828,2024-10-03T03:08:00.971495,Air traffic dispatch telemetry check for ALT-CSE-06-00237. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00237""]"
CAS-CSE-06-0048,CSE-06,2024-12-22T18:47:56.387442,2024-12-22T19:10:29.678470,Air traffic dispatch telemetry check for ALT-CSE-06-00242. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00242""]"
CAS-CSE-06-0049,CSE-06,2024-10-11T01:12:40.232444,2024-10-11T02:35:44.466469,Air traffic dispatch telemetry check for ALT-CSE-06-00243. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00243""]"
CAS-CSE-06-0050,CSE-06,2024-11-06T21:39:22.871055,2024-11-06T22:20:28.993708,Air traffic dispatch telemetry check for ALT-CSE-06-00252. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00252""]"
CAS-CSE-06-0051,CSE-06,2024-12-29T03:43:13.533832,2024-12-29T04:44:58.124507,Air traffic dispatch telemetry check for ALT-CSE-06-00259. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00259""]"
CAS-CSE-06-0052,CSE-06,2024-12-11T17:05:15.025416,2024-12-11T17:35:03.437757,Air traffic dispatch telemetry check for ALT-CSE-06-00266. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00266""]"
CAS-CSE-06-0053,CSE-06,2024-11-13T18:21:25.822787,2024-11-13T19:19:02.371894,Air traffic dispatch telemetry check for ALT-CSE-06-00268. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00268""]"
CAS-CSE-06-0054,CSE-06,2024-10-28T02:29:00.130389,2024-10-28T03:08:01.288657,Air traffic dispatch telemetry check for ALT-CSE-06-00274. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00274""]"
CAS-CSE-06-0055,CSE-06,2024-10-16T18:00:54.500908,2024-10-16T19:02:52.350792,Air traffic dispatch telemetry check for ALT-CSE-06-00276. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00276""]"
CAS-CSE-06-0056,CSE-06,2024-10-14T06:51:06.185984,2024-10-14T07:26:25.123446,Air traffic dispatch telemetry check for ALT-CSE-06-00277. Signal latency inside safety margins.,AERO-SOC-3,True,Resolved,"[""ALT-CSE-06-00277""]"
CAS-CSE-06-0057,CSE-06,2024-11-13T01:14:26.127827,2024-11-13T02:11:53.458323,Air traffic dispatch telemetry check for ALT-CSE-06-00278. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00278""]"
CAS-CSE-06-0058,CSE-06,2024-11-30T00:52:28.128019,2024-11-30T02:04:00.536973,Air traffic dispatch telemetry check for ALT-CSE-06-00285. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00285""]"
CAS-CSE-06-0059,CSE-06,2024-10-16T22:44:03.444569,2024-10-16T23:25:37.325069,Air traffic dispatch telemetry check for ALT-CSE-06-00287. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00287""]"
CAS-CSE-06-0060,CSE-06,2024-12-02T02:25:36.650764,2024-12-02T03:18:04.020463,Air traffic dispatch telemetry check for ALT-CSE-06-00300. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00300""]"
CAS-CSE-06-0061,CSE-06,2024-10-14T12:58:00.639580,2024-10-14T13:25:10.397773,Air traffic dispatch telemetry check for ALT-CSE-06-00301. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00301""]"
CAS-CSE-06-0062,CSE-06,2024-12-16T16:34:16.221679,2024-12-16T17:54:28.813411,Air traffic dispatch telemetry check for ALT-CSE-06-00303. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00303""]"
CAS-CSE-06-0063,CSE-06,2024-12-23T10:46:45.881565,2024-12-23T11:22:49.493591,Air traffic dispatch telemetry check for ALT-CSE-06-00304. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00304""]"
CAS-CSE-06-0064,CSE-06,2024-11-15T11:19:47.099283,2024-11-15T11:58:20.723240,Air traffic dispatch telemetry check for ALT-CSE-06-00312. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00312""]"
CAS-CSE-06-0065,CSE-06,2024-11-13T07:17:56.515548,2024-11-13T07:47:04.356072,Air traffic dispatch telemetry check for ALT-CSE-06-00313. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00313""]"
CAS-CSE-06-0066,CSE-06,2024-12-17T23:00:33.182874,2024-12-18T00:12:43.119994,Air traffic dispatch telemetry check for ALT-CSE-06-00314. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00314""]"
CAS-CSE-06-0067,CSE-06,2024-11-08T09:17:05.350522,2024-11-08T09:42:34.792354,Air traffic dispatch telemetry check for ALT-CSE-06-00315. Signal latency inside safety margins.,AERO-SOC-3,False,Resolved,"[""ALT-CSE-06-00315""]"
CAS-CSE-06-0068,CSE-06,2024-10-04T14:59:48.563586,2024-10-04T15:55:52.298344,Air traffic dispatch telemetry check for ALT-CSE-06-00316. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00316""]"
CAS-CSE-06-0069,CSE-06,2024-11-08T04:47:28.342526,2024-11-08T05:46:27.037073,Air traffic dispatch telemetry check for ALT-CSE-06-00317. Signal latency inside safety margins.,AERO-SOC-4,False,Resolved,"[""ALT-CSE-06-00317""]"
CAS-CSE-06-0070,CSE-06,2024-11-16T11:37:24.726849,2024-11-16T12:54:32.186822,Air traffic dispatch telemetry check for ALT-CSE-06-00342. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00342""]"
CAS-CSE-06-0071,CSE-06,2024-12-20T04:03:33.187773,2024-12-20T05:08:43.134360,Air traffic dispatch telemetry check for ALT-CSE-06-00348. Signal latency inside safety margins.,AERO-SOC-4,True,Resolved,"[""ALT-CSE-06-00348""]"
CAS-CSE-06-0072,CSE-06,2024-10-05T13:32:20.577785,2024-10-05T14:41:35.574099,Air traffic dispatch telemetry check for ALT-CSE-06-00355. Signal latency inside safety margins.,AERO-SOC-2,False,Resolved,"[""ALT-CSE-06-00355""]"
CAS-CSE-06-0073,CSE-06,2024-10-17T07:07:24.868811,2024-10-17T08:07:01.387863,Air traffic dispatch telemetry check for ALT-CSE-06-00362. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00362""]"
CAS-CSE-06-0074,CSE-06,2024-12-26T22:56:29.163512,2024-12-27T00:12:05.068944,Air traffic dispatch telemetry check for ALT-CSE-06-00367. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00367""]"
CAS-CSE-06-0075,CSE-06,2024-12-03T08:14:59.186540,2024-12-03T08:33:32.585831,Air traffic dispatch telemetry check for ALT-CSE-06-00369. Signal latency inside safety margins.,AERO-SOC-1,False,Resolved,"[""ALT-CSE-06-00369""]"
